;artist_name;link;nationality;birth;demise
44;Acton, Lillian E.;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=34647;American;born 1911;Unknown
45;Adam;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6346;Unknown;active probably 18th century;Unknown
46;Adam, Franz;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=35350;German;1815;1886
47;Adam, Henri-Georges;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2867;French;1904;1967
48;Adam, Jacob;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6925;Austrian;1748;1811
49;Adam, James;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11487;British;1732;1794
50;Adam, Robert;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6560;British;1728;1792
51;Adam, Victor;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=23937;French;1801;1866
52;Adam, William;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11486;British;1689;1748
53;Adams, Ansel;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6032;American;1902;1984
54;Adams, Ansel Easton;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6032;American;1902;1984
55;Adams, Ben Q.;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=10111;American;active 1970s;Unknown
56;Adams, Clinton;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2868;American;1918;2002
57;Adams, Herbert;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=26724;American;1858;1945
58;Adams, Jean Crawford;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33110;American;1884;1972
59;Adams, Kenneth Miller;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=5901;American;1897;1966
60;Adams, Robert;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=16503;American;born 1937;Unknown
61;Adams, Robert and Kerstin;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=16503;American;born 1937;Unknown
62;Adams, Ron;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=19938;Unknown;Unknown;Unknown
63;Adams, Wayman;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33111;American;1883;1959
64;Adamson, Robert;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=13363;Scottish;1821;1848
65;Adan, Louis Emile;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=34434;French;1839;1937
66;Adcock, Craig;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=25972;Unknown;Unknown;Unknown
67;Addams, Clifford Isaac;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2869;American;1876;1942
68;Adelman, Lillian;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=34631;American;1899;1985
69;Ademollo, Luigi;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=28114;Italian;1764;1849
70;Ader, Bas Jan;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=31179;Dutch;1942;1975
71;Adhémar, Jean;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=36421;French;1908;1987
72;Adlard, Henry;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=6163;British;active 19th century;Unknown
73;Adoian, Vosdanik Manook;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=1351;American;born Armenia;Unknown
74;Adriano Fiorentino;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=1997;Italian;c. 1450/1460;1499
75;Adzak, Roy;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2870;British;born 1927;Unknown
76;Aelst, Willem van;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=27;Dutch;1627;1683
77;"""Aetatis Suae"" Limner";https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=6690;American;active c. 1717;1725
78;Afro;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2871;Italian;1912;1976
79;Aftograf;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=10432;Russian;active 20th century;Unknown
80;Agar, Charles d';https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=6315;French;born 1669;Unknown
81;Agliaudo, Ignazio;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=19624;Italian;active 1737;Unknown
82;Aglio, Agostino;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2872;British;1777;1859
83;Aglio, Augustine;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2872;British;1777;1859
84;Agnolo, Battista dell';https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=10543;Italian;c. 1515;1573
85;Agostino di Duccio;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=1998;Italian;1418;probably 1481
86;Agricola, Eduard;https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33676;German;1800;1848
87;Agrippa, Giovanni Guido;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=9896;Italian;active from c. 1501;Unknown
88;Aguero, Leopoldo Torres;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6585;Argentinean;born 1924;Unknown
